CYP2C9 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*21/*48,n/a,CYP2C9 Indeterminate,none
*21/*49,n/a,CYP2C9 Indeterminate,none
*21/*50,n/a,CYP2C9 Indeterminate,none
*21/*51,n/a,CYP2C9 Indeterminate,none
*21/*52,n/a,CYP2C9 Indeterminate,none
*21/*53,n/a,CYP2C9 Indeterminate,none
*21/*54,n/a,CYP2C9 Indeterminate,none
*21/*55,n/a,CYP2C9 Indeterminate,none
*21/*56,n/a,CYP2C9 Indeterminate,none
*21/*57,n/a,CYP2C9 Indeterminate,none
*21/*58,n/a,CYP2C9 Indeterminate,none
*21/*59,n/a,CYP2C9 Indeterminate,none
*21/*60,n/a,CYP2C9 Indeterminate,none
*21/*61,n/a,CYP2C9 Indeterminate,none
*21/*62,n/a,CYP2C9 Indeterminate,none
*21/*63,n/a,CYP2C9 Indeterminate,none
*21/*64,n/a,CYP2C9 Indeterminate,none
*21/*65,n/a,CYP2C9 Indeterminate,none
*21/*66,n/a,CYP2C9 Indeterminate,none
*21/*67,n/a,CYP2C9 Indeterminate,none
*21/*68,n/a,CYP2C9 Indeterminate,none
*21/*69,n/a,CYP2C9 Indeterminate,none
*21/*70,n/a,CYP2C9 Indeterminate,none
*21/*71,n/a,CYP2C9 Indeterminate,none
*21/*72,n/a,CYP2C9 Indeterminate,none
*21/*73,n/a,CYP2C9 Indeterminate,none
*21/*74,n/a,CYP2C9 Indeterminate,none
*21/*75,n/a,CYP2C9 Indeterminate,none
*22/*22,n/a,CYP2C9 Indeterminate,none
*22/*23,n/a,CYP2C9 Indeterminate,none
*22/*24,n/a,CYP2C9 Indeterminate,none
*22/*25,n/a,CYP2C9 Indeterminate,none
*22/*26,n/a,CYP2C9 Indeterminate,none
*22/*27,n/a,CYP2C9 Indeterminate,none
*22/*28,n/a,CYP2C9 Indeterminate,none
*22/*29,n/a,CYP2C9 Indeterminate,none
*22/*30,n/a,CYP2C9 Indeterminate,none
*22/*31,n/a,CYP2C9 Indeterminate,none
*22/*32,n/a,CYP2C9 Indeterminate,none
*22/*33,n/a,CYP2C9 Indeterminate,none
*22/*34,n/a,CYP2C9 Indeterminate,none
*22/*35,n/a,CYP2C9 Indeterminate,none
*22/*36,n/a,CYP2C9 Indeterminate,none
*22/*37,n/a,CYP2C9 Indeterminate,none
*22/*38,n/a,CYP2C9 Indeterminate,none
*22/*39,n/a,CYP2C9 Indeterminate,none
*22/*40,n/a,CYP2C9 Indeterminate,none
*22/*41,n/a,CYP2C9 Indeterminate,none
*22/*42,n/a,CYP2C9 Indeterminate,none
*22/*43,n/a,CYP2C9 Indeterminate,none
*22/*44,n/a,CYP2C9 Indeterminate,none
*22/*45,n/a,CYP2C9 Indeterminate,none
*22/*46,n/a,CYP2C9 Indeterminate,none
*22/*47,n/a,CYP2C9 Indeterminate,none
*22/*48,n/a,CYP2C9 Indeterminate,none
*22/*49,n/a,CYP2C9 Indeterminate,none
*22/*50,n/a,CYP2C9 Indeterminate,none
*22/*51,n/a,CYP2C9 Indeterminate,none
*22/*52,n/a,CYP2C9 Indeterminate,none
*22/*53,n/a,CYP2C9 Indeterminate,none
*22/*54,n/a,CYP2C9 Indeterminate,none
*22/*55,n/a,CYP2C9 Indeterminate,none
*22/*56,n/a,CYP2C9 Indeterminate,none
*22/*57,n/a,CYP2C9 Indeterminate,none
*22/*58,n/a,CYP2C9 Indeterminate,none
*22/*59,n/a,CYP2C9 Indeterminate,none
*22/*60,n/a,CYP2C9 Indeterminate,none
*22/*61,n/a,CYP2C9 Indeterminate,none
*22/*62,n/a,CYP2C9 Indeterminate,none
*22/*63,n/a,CYP2C9 Indeterminate,none
*22/*64,n/a,CYP2C9 Indeterminate,none
*22/*65,n/a,CYP2C9 Indeterminate,none
*22/*66,n/a,CYP2C9 Indeterminate,none
*22/*67,n/a,CYP2C9 Indeterminate,none
*22/*68,n/a,CYP2C9 Indeterminate,none
*22/*69,n/a,CYP2C9 Indeterminate,none
*22/*70,n/a,CYP2C9 Indeterminate,none
*22/*71,n/a,CYP2C9 Indeterminate,none
*22/*72,n/a,CYP2C9 Indeterminate,none
*22/*73,n/a,CYP2C9 Indeterminate,none
*22/*74,n/a,CYP2C9 Indeterminate,none
*22/*75,n/a,CYP2C9 Indeterminate,none
*23/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*27,n/a,CYP2C9 Indeterminate,none
*23/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*32,n/a,CYP2C9 Indeterminate,none
*23/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*34,n/a,CYP2C9 Indeterminate,none
*23/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*36,n/a,CYP2C9 Indeterminate,none
*23/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*40,n/a,CYP2C9 Indeterminate,none
*23/*41,n/a,CYP2C9 Indeterminate,none
*23/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*47,n/a,CYP2C9 Indeterminate,none
*23/*48,n/a,CYP2C9 Indeterminate,none
*23/*49,n/a,CYP2C9 Indeterminate,none
*23/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*51,n/a,CYP2C9 Indeterminate,none
*23/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*23/*53,n/a,CYP2C9 Indeterminate,none
*23/*54,n/a,CYP2C9 Indeterminate,none
*23/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*56,n/a,CYP2C9 Indeterminate,none
*23/*57,n/a,CYP2C9 Indeterminate,none
*23/*58,n/a,CYP2C9 Indeterminate,none
*23/*59,n/a,CYP2C9 Indeterminate,none
*23/*60,n/a,CYP2C9 Indeterminate,none
*23/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*23/*62,n/a,CYP2C9 Indeterminate,none
*23/*63,n/a,CYP2C9 Indeterminate,none
*23/*64,n/a,CYP2C9 Indeterminate,none
*23/*65,n/a,CYP2C9 Indeterminate,none
*23/*66,n/a,CYP2C9 Indeterminate,none
*23/*67,n/a,CYP2C9 Indeterminate,none
*23/*68,n/a,CYP2C9 Indeterminate,none
*23/*69,n/a,CYP2C9 Indeterminate,none
*23/*70,n/a,CYP2C9 Indeterminate,none
*23/*71,n/a,CYP2C9 Indeterminate,none
*23/*72,n/a,CYP2C9 Indeterminate,none
*23/*73,n/a,CYP2C9 Indeterminate,none
*23/*74,n/a,CYP2C9 Indeterminate,none
*23/*75,n/a,CYP2C9 Indeterminate,none
*24/*24,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*25,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*26,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*27,n/a,CYP2C9 Indeterminate,none
*24/*28,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*29,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*30,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*31,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*32,n/a,CYP2C9 Indeterminate,none
*24/*33,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*34,n/a,CYP2C9 Indeterminate,none
*24/*35,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*36,n/a,CYP2C9 Indeterminate,none
*24/*37,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*38,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*39,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*40,n/a,CYP2C9 Indeterminate,none
*24/*41,n/a,CYP2C9 Indeterminate,none
*24/*42,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*43,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*44,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*45,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*46,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*47,n/a,CYP2C9 Indeterminate,none
*24/*48,n/a,CYP2C9 Indeterminate,none
*24/*49,n/a,CYP2C9 Indeterminate,none
*24/*50,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*51,n/a,CYP2C9 Indeterminate,none
*24/*52,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*53,n/a,CYP2C9 Indeterminate,none
*24/*54,n/a,CYP2C9 Indeterminate,none
*24/*55,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*56,n/a,CYP2C9 Indeterminate,none
*24/*57,n/a,CYP2C9 Indeterminate,none
*24/*58,n/a,CYP2C9 Indeterminate,none
*24/*59,n/a,CYP2C9 Indeterminate,none
*24/*60,n/a,CYP2C9 Indeterminate,none
*24/*61,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*24/*62,n/a,CYP2C9 Indeterminate,none
*24/*63,n/a,CYP2C9 Indeterminate,none
*24/*64,n/a,CYP2C9 Indeterminate,none
*24/*65,n/a,CYP2C9 Indeterminate,none
*24/*66,n/a,CYP2C9 Indeterminate,none
*24/*67,n/a,CYP2C9 Indeterminate,none
*24/*68,n/a,CYP2C9 Indeterminate,none
*24/*69,n/a,CYP2C9 Indeterminate,none
*24/*70,n/a,CYP2C9 Indeterminate,none
*24/*71,n/a,CYP2C9 Indeterminate,none
*24/*72,n/a,CYP2C9 Indeterminate,none
*24/*73,n/a,CYP2C9 Indeterminate,none
*24/*74,n/a,CYP2C9 Indeterminate,none
*24/*75,n/a,CYP2C9 Indeterminate,none
*25/*25,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*26,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*27,n/a,CYP2C9 Indeterminate,none
*25/*28,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*29,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*30,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*31,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*32,n/a,CYP2C9 Indeterminate,none
*25/*33,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*34,n/a,CYP2C9 Indeterminate,none
*25/*35,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*36,n/a,CYP2C9 Indeterminate,none
*25/*37,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*38,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*39,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*40,n/a,CYP2C9 Indeterminate,none
*25/*41,n/a,CYP2C9 Indeterminate,none
*25/*42,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*43,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*44,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*45,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*46,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*47,n/a,CYP2C9 Indeterminate,none
*25/*48,n/a,CYP2C9 Indeterminate,none
*25/*49,n/a,CYP2C9 Indeterminate,none
*25/*50,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*51,n/a,CYP2C9 Indeterminate,none
*25/*52,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*53,n/a,CYP2C9 Indeterminate,none
*25/*54,n/a,CYP2C9 Indeterminate,none
*25/*55,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*56,n/a,CYP2C9 Indeterminate,none
*25/*57,n/a,CYP2C9 Indeterminate,none
*25/*58,n/a,CYP2C9 Indeterminate,none
*25/*59,n/a,CYP2C9 Indeterminate,none
*25/*60,n/a,CYP2C9 Indeterminate,none
*25/*61,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*25/*62,n/a,CYP2C9 Indeterminate,none
*25/*63,n/a,CYP2C9 Indeterminate,none
*25/*64,n/a,CYP2C9 Indeterminate,none
*25/*65,n/a,CYP2C9 Indeterminate,none
*25/*66,n/a,CYP2C9 Indeterminate,none
*25/*67,n/a,CYP2C9 Indeterminate,none
*25/*68,n/a,CYP2C9 Indeterminate,none
*25/*69,n/a,CYP2C9 Indeterminate,none
*25/*70,n/a,CYP2C9 Indeterminate,none
*25/*71,n/a,CYP2C9 Indeterminate,none
*25/*72,n/a,CYP2C9 Indeterminate,none
*25/*73,n/a,CYP2C9 Indeterminate,none
*25/*74,n/a,CYP2C9 Indeterminate,none
*25/*75,n/a,CYP2C9 Indeterminate,none
*26/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*27,n/a,CYP2C9 Indeterminate,none
*26/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*32,n/a,CYP2C9 Indeterminate,none
*26/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*34,n/a,CYP2C9 Indeterminate,none
*26/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*36,n/a,CYP2C9 Indeterminate,none
*26/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*40,n/a,CYP2C9 Indeterminate,none
*26/*41,n/a,CYP2C9 Indeterminate,none
*26/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*47,n/a,CYP2C9 Indeterminate,none
*26/*48,n/a,CYP2C9 Indeterminate,none
*26/*49,n/a,CYP2C9 Indeterminate,none
*26/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*51,n/a,CYP2C9 Indeterminate,none
*26/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*53,n/a,CYP2C9 Indeterminate,none
*26/*54,n/a,CYP2C9 Indeterminate,none
*26/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*56,n/a,CYP2C9 Indeterminate,none
*26/*57,n/a,CYP2C9 Indeterminate,none
*26/*58,n/a,CYP2C9 Indeterminate,none
*26/*59,n/a,CYP2C9 Indeterminate,none
*26/*60,n/a,CYP2C9 Indeterminate,none
*26/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*62,n/a,CYP2C9 Indeterminate,none
*26/*63,n/a,CYP2C9 Indeterminate,none
*26/*64,n/a,CYP2C9 Indeterminate,none
*26/*65,n/a,CYP2C9 Indeterminate,none
*26/*66,n/a,CYP2C9 Indeterminate,none
*26/*67,n/a,CYP2C9 Indeterminate,none
*26/*68,n/a,CYP2C9 Indeterminate,none
*26/*69,n/a,CYP2C9 Indeterminate,none
*26/*70,n/a,CYP2C9 Indeterminate,none
*26/*71,n/a,CYP2C9 Indeterminate,none
*26/*72,n/a,CYP2C9 Indeterminate,none
*26/*73,n/a,CYP2C9 Indeterminate,none
*26/*74,n/a,CYP2C9 Indeterminate,none
*26/*75,n/a,CYP2C9 Indeterminate,none
*27/*27,n/a,CYP2C9 Indeterminate,none
*27/*28,n/a,CYP2C9 Indeterminate,none
*27/*29,n/a,CYP2C9 Indeterminate,none
*27/*30,n/a,CYP2C9 Indeterminate,none
*27/*31,n/a,CYP2C9 Indeterminate,none
*27/*32,n/a,CYP2C9 Indeterminate,none
*27/*33,n/a,CYP2C9 Indeterminate,none
*27/*34,n/a,CYP2C9 Indeterminate,none
*27/*35,n/a,CYP2C9 Indeterminate,none
*27/*36,n/a,CYP2C9 Indeterminate,none
*27/*37,n/a,CYP2C9 Indeterminate,none
*27/*38,n/a,CYP2C9 Indeterminate,none
*27/*39,n/a,CYP2C9 Indeterminate,none
*27/*40,n/a,CYP2C9 Indeterminate,none
*27/*41,n/a,CYP2C9 Indeterminate,none
*27/*42,n/a,CYP2C9 Indeterminate,none
*27/*43,n/a,CYP2C9 Indeterminate,none
*27/*44,n/a,CYP2C9 Indeterminate,none
*27/*45,n/a,CYP2C9 Indeterminate,none
*27/*46,n/a,CYP2C9 Indeterminate,none
*27/*47,n/a,CYP2C9 Indeterminate,none
*27/*48,n/a,CYP2C9 Indeterminate,none
*27/*49,n/a,CYP2C9 Indeterminate,none
*27/*50,n/a,CYP2C9 Indeterminate,none
*27/*51,n/a,CYP2C9 Indeterminate,none
*27/*52,n/a,CYP2C9 Indeterminate,none
*27/*53,n/a,CYP2C9 Indeterminate,none
*27/*54,n/a,CYP2C9 Indeterminate,none
*27/*55,n/a,CYP2C9 Indeterminate,none
*27/*56,n/a,CYP2C9 Indeterminate,none
*27/*57,n/a,CYP2C9 Indeterminate,none
*27/*58,n/a,CYP2C9 Indeterminate,none
*27/*59,n/a,CYP2C9 Indeterminate,none
*27/*60,n/a,CYP2C9 Indeterminate,none
*27/*61,n/a,CYP2C9 Indeterminate,none
*27/*62,n/a,CYP2C9 Indeterminate,none
*27/*63,n/a,CYP2C9 Indeterminate,none
*27/*64,n/a,CYP2C9 Indeterminate,none
*27/*65,n/a,CYP2C9 Indeterminate,none
*27/*66,n/a,CYP2C9 Indeterminate,none
*27/*67,n/a,CYP2C9 Indeterminate,none
*27/*68,n/a,CYP2C9 Indeterminate,none
*27/*69,n/a,CYP2C9 Indeterminate,none
*27/*70,n/a,CYP2C9 Indeterminate,none
*27/*71,n/a,CYP2C9 Indeterminate,none
*27/*72,n/a,CYP2C9 Indeterminate,none
*27/*73,n/a,CYP2C9 Indeterminate,none
*27/*74,n/a,CYP2C9 Indeterminate,none
*27/*75,n/a,CYP2C9 Indeterminate,none
*28/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*32,n/a,CYP2C9 Indeterminate,none
*28/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*34,n/a,CYP2C9 Indeterminate,none
*28/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*36,n/a,CYP2C9 Indeterminate,none
*28/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*40,n/a,CYP2C9 Indeterminate,none
*28/*41,n/a,CYP2C9 Indeterminate,none
*28/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*47,n/a,CYP2C9 Indeterminate,none
*28/*48,n/a,CYP2C9 Indeterminate,none
*28/*49,n/a,CYP2C9 Indeterminate,none
*28/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*51,n/a,CYP2C9 Indeterminate,none
*28/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*53,n/a,CYP2C9 Indeterminate,none
*28/*54,n/a,CYP2C9 Indeterminate,none
*28/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*56,n/a,CYP2C9 Indeterminate,none
*28/*57,n/a,CYP2C9 Indeterminate,none
*28/*58,n/a,CYP2C9 Indeterminate,none
*28/*59,n/a,CYP2C9 Indeterminate,none
*28/*60,n/a,CYP2C9 Indeterminate,none
*28/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*62,n/a,CYP2C9 Indeterminate,none
*28/*63,n/a,CYP2C9 Indeterminate,none
*28/*64,n/a,CYP2C9 Indeterminate,none
*28/*65,n/a,CYP2C9 Indeterminate,none
*28/*66,n/a,CYP2C9 Indeterminate,none
*28/*67,n/a,CYP2C9 Indeterminate,none
*28/*68,n/a,CYP2C9 Indeterminate,none
*28/*69,n/a,CYP2C9 Indeterminate,none
*28/*70,n/a,CYP2C9 Indeterminate,none
*28/*71,n/a,CYP2C9 Indeterminate,none
*28/*72,n/a,CYP2C9 Indeterminate,none
*28/*73,n/a,CYP2C9 Indeterminate,none
*28/*74,n/a,CYP2C9 Indeterminate,none
*28/*75,n/a,CYP2C9 Indeterminate,none
*29/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*32,n/a,CYP2C9 Indeterminate,none
*29/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*34,n/a,CYP2C9 Indeterminate,none
*29/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*36,n/a,CYP2C9 Indeterminate,none
*29/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*40,n/a,CYP2C9 Indeterminate,none
*29/*41,n/a,CYP2C9 Indeterminate,none
*29/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*47,n/a,CYP2C9 Indeterminate,none
*29/*48,n/a,CYP2C9 Indeterminate,none
*29/*49,n/a,CYP2C9 Indeterminate,none
*29/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*51,n/a,CYP2C9 Indeterminate,none
*29/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*53,n/a,CYP2C9 Indeterminate,none
*29/*54,n/a,CYP2C9 Indeterminate,none
*29/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*56,n/a,CYP2C9 Indeterminate,none
*29/*57,n/a,CYP2C9 Indeterminate,none
*29/*58,n/a,CYP2C9 Indeterminate,none
*29/*59,n/a,CYP2C9 Indeterminate,none
*29/*60,n/a,CYP2C9 Indeterminate,none
*29/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*62,n/a,CYP2C9 Indeterminate,none
*29/*63,n/a,CYP2C9 Indeterminate,none
*29/*64,n/a,CYP2C9 Indeterminate,none
*29/*65,n/a,CYP2C9 Indeterminate,none
*29/*66,n/a,CYP2C9 Indeterminate,none
*29/*67,n/a,CYP2C9 Indeterminate,none
*29/*68,n/a,CYP2C9 Indeterminate,none
*29/*69,n/a,CYP2C9 Indeterminate,none
*29/*70,n/a,CYP2C9 Indeterminate,none
*29/*71,n/a,CYP2C9 Indeterminate,none
*29/*72,n/a,CYP2C9 Indeterminate,none
*29/*73,n/a,CYP2C9 Indeterminate,none
*29/*74,n/a,CYP2C9 Indeterminate,none
*29/*75,n/a,CYP2C9 Indeterminate,none
*30/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*30/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*30/*32,n/a,CYP2C9 Indeterminate,none
*30/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*34,n/a,CYP2C9 Indeterminate,none
*30/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*36,n/a,CYP2C9 Indeterminate,none
*30/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*30/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*30/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*40,n/a,CYP2C9 Indeterminate,none
*30/*41,n/a,CYP2C9 Indeterminate,none
*30/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*30/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*30/*47,n/a,CYP2C9 Indeterminate,none
*30/*48,n/a,CYP2C9 Indeterminate,none
*30/*49,n/a,CYP2C9 Indeterminate,none
